बारमा तेस्रो पटक भेट भएपछि उसले मलाई आफ्नो घर बिशालनगरमा निम्त्यायो।	After our third meeting in the bar, he invited me to his home in Vishainagar.
अथवा माया गरेर दुःख भोग्नुपर्ने कुरा होइन ।	Nor is it necessary to suffer for love.
आफ्नो जीवनलाई एक्लै पूरा गर्न सकिन्छ... एक्लै ।	It is possible to live out one’s life alone... alone.
मैले भने तपाईंको फूलले यो सिकायो, जो तपाईंले एक्लै बाँच्नु र जो तपाईंलाई छुन्छ त्यसलाई मार्नु ?	I asked, So does your flower teach you to live alone and kill whatever touches you?
फूलको कुरा भयौं, तर मर्न आउने मर्छन्‌, मेरो भन्नु केही छैन। गर्मी भयो, भित्र हिँड्नुस्‌।	We were talking about flowers, but those who come to die, die, I have nothing to say. It's hot, come inside.
दोस्रोपल्ट सर्लगक उभिएको शरीरमाथि राखिएको एउटा सुनौलो टाउकोपछि लागेर म त्यस घरको मूलढोकावाट फेरि त्यही बैठकमा गएँ। क मलाई त्यहीँ पर्खाएर गइहाली। आफैं सम्झन बाले कस्ती निस्सार स्वास्तीमान्छे छ यो।	Following the golden head atop a gracefully standing body for the second time, I entered the living room through the main door of the house. She left me waiting there. I began to think to myself, what an empty woman she is.
यसको रगतमा मानवविरोधी तत्त्व बहन्छ क्यार, तर होइन, उसको दाइलाई क माया गर्छ, त्यसैले शिवराज उसलाई अरूलाई हेरी वढ्ता माया गर्छ।	Maybe her blood carries some anti-human element, but no, she loves her brother. That's why Shiva Raj loves her more than anyone else.
सकमबरी के जीवनहीन, प्रेमहीन होली त? क जस्ती होस्‌ मेरो के लाग्छ? मैले पनि पैंतालीस वर्षको उमेरसम्म कुन स्वास्नीमान्छैलाई प्रेम गरेँ र?	Could she, Sakambari, be so lifeless, loveless? Whatever she may be, what does it matter to me? I’ve never loved a woman even at the age of forty-five.
म प्रशस्त बूढो भइसके, मलाई प्रेम र स्वास्नीमान्छेसँग के चासो, के स्वार्थ?	I am old enough; what interest or concern should I have with love or women?
एकछिनपछि क ढोकाबाट कराउँदै आई, "तपाईंलाई शायद फूलको सोख छैन।" उसले हातमा अर्को चुरुट लिएकी थिई।	After a while, she came in through the door, shouting, Maybe you're not fond of flowers. She had another cigarette in her hand.
"एउटा सिपाही र कुल कस्तो अमिल्दो कुरा!" आफ्नो हाँसोको सीमा मोहडा उज्यालो पाई क लगत्तै गई।	What a mismatch between a soldier and a family! She brightened her face with a smile and left right away.
मैले थाहा पाएँ क हाँसेर गई, तर कस्ती रहिछ प्याच्चै सिपाही भनिदिई।	I realized she left laughing, but how bold she was to outright call me a soldier.
शिवराजले मेरो सबै कुरा यसलाई भन्दोरहेछ, गजवको मान्छे।	Shiva Raj must have told her everything about me, an amazing man.
मैले पहिलो दिनै सम्भोको थिएँ, पसलाई सम्झन एउटा छुट्दै कोठा चाहिन्छ, छुंड्ढै एकान्त चाहिन्छ, अवश्य चाहिन्छ।	From the first day, I understood I needed a separate room, a secluded place for myself, absolutely needed it.
तर जे होस्‌, यसको धारणा स्वास्तीमान्छेमा लागु हुन सक्तैन, क आफैँले पनि हुन सक्तैन।	But whatever the case, such a notion doesn’t apply to a woman, nor can she enforce it herself.
स्वास्तीमान्छे स्वास्नीमान्छे नै हो, फूल फूलै हो।	A woman is still a woman, and a flower is still a flower.
म बूढो सिपाही, मलाई....मलाई फूलको सौख छैन तथापि स्वास्नीमान्छै....।	I am an old soldier... I’m not fond of flowers, yet... women...
मेरो मस्तिष्क दुखेर आयो, मैले फूलदानमा भरिएका ताजा नीला फूलहरू खेलाएर आफैँलाई विसंत खोजेँ।	My head started to hurt, so I distracted myself by fiddling with the fresh blue flowers in the vase.
तर यहाँ पनि स्वास्नीमान्छे - यहाँ त झन्‌ मजुरा भन्ने स्वास्नीमान्छै छ, एउटी राम्री स्वास्नीमान्छे।	But even here, there’s a woman—here there’s Majura, a beautiful woman.
भाग्यवश छिंडीबाटै बरीको नाउँ लिँदै शिबराजजी पस्यो, मैले केही छुट्कारा अनुभब गरेँ।	Luckily, Shiva Raj entered, calling out Bari’s name from the hallway, and I felt a bit relieved.
मलाई देख्नासाथ उसले भन्यो, “बरीले तलै भनी, धन्दा नमान्नुहोस्‌, यसलाई आफ्नै घर सम्झनुभए हुन्छ।”	As soon as he saw me, he said, Bari told me downstairs, don’t worry, treat this as your own home.
मैले खल्तीबाट एउटी स्वास्नी मान्छेको नहेरिएको तस्वीर झिक्तै भनेँ, “तपाईंले यो तस्वीर हिजो मेरो डेरामा छोड्नुभएछ, म त्यही दिन भनी आएको, लिनुस्‌।”	Taking an unused picture of a woman from my pocket, I said, You left this picture at my place yesterday, I thought to return it.
उसले तसँदै भन्यो, “हरे! म कस्तो लवस्तरो, अरू ठाउँमा छुटेको भए!”	He slapped his forehead, saying, Oh! How careless of me, if it had been left anywhere else!
सकमबरीको तस्वीरलाई मायालु आँखाले हेर्दै उसले आफ्नो वालेट अघिल्तिर राख्यो।	Looking at Sakambari’s picture with loving eyes, he placed it in front of his wallet.
मेरो खल्तीबाट एउटा समस्या भाग्यो, एजटा मानवविरोधी तत्त्व भाग्यो, एउटा धृष्टता भाग्यो।	A problem left my pocket, a bit of anti-humanity left, and a bit of arrogance left as well.
बाहिरबाट आएको कचिङ्गलले हामी दुवै जना एकाग्र थिएनौं।	The noise from outside broke both of our concentration.
क त सधैंको अभ्यस्त मान्छे, मलाईचाहिँ अनौठो लाग्यो।	He was used to such interruptions, but it felt strange to me.
“तिमी अलिक मधुरो स्वरले बोल्न सक्तिनौ बरी? बुढौली लागेको आवाज आउँछ।	You can’t speak a bit softer, Bari? Your voice sounds aged.
कति चुरुट खानुपर्छ वरी, तिमीलाई?” अर्को मसिनो लज्जालु आवाज आउँछ।	How many cigarettes do you need to smoke, Bari? Another shy voice came.
“वरी दिज्यू लाहुरेहरूले गाउने गीत गाउनोस्‌ न।” अनि एउटा फुक्का छुट्छ।	Sister Bari, sing one of those songs the soldiers sing. Then there was laughter.
मैले कुरा टाल्नलाई साथीसँग सोधेँ, "यहाँ सधैं तपाईं ताजा फूल राख्नुहुन्छ ति शिवराजजी?”	To change the subject, I asked my friend, Do you always keep fresh flowers here, Shiva Raj?
तर मैले कुरा थुत्ने उद्देश्यले होइन।	But I didn’t ask just to change the topic.
उसले हाँस्दै उत्तर दियो, “बरीले भरिदिन्छे सधैँ। मुजुरालाई यी सबको चाख छैन।	He laughed and replied, Bari fills them up every time. Majura has no interest in these things.
मेरी कान्छी बहनीसँग मेरो भेट नै हुँदैन। म उठ्दा क पढ्न गइसकेकी हुन्छे, म फर्कदा क खाएर सुतिसकेकी हुन्छे।”	I never even see my younger sister. When I wake up, she’s gone to study, and by the time I return, she’s eaten and gone to bed.
कुरा टुग्गित पाउँदैन, ढोकामा चिच्याएर देखा परी उही बरी।	Before the conversation could finish, Bari appeared at the door, shouting.
"शिव! तपाईंलाई भान्छा गर्नु पर्दैत आज, आज हिंड्नुस्‌ सुयोगजी तपाईं पनि भान्छामा।”	Shiva! You have to cook today. Come on, Suyogji, you should come to the kitchen too.
मैले लाज मान्दै भनें, “होइन, म डेरामा खाइहाल्छ नि।”	I replied shyly, No, I’ll just eat at my place.
“डेरामा कसले पकाइदिन्छ तपाईंलाई? भान्छै राख्नुभएको होला, मिठो लाग्छ के: बिहा गर्नुस्‌ न, बूढो भइसक्नुभो।”	Who cooks for you at your place? You probably keep a cook, right? You should get married, you're getting old.
घरीका यी वाक्यहरूले एकक्षण त मलाई व्याकुल वनायो।	Her constant words made me restless for a moment.
सम्झेँ जथाभावी बोल्छे, कत्ति पनि लाज मान्दिन, साँच्चै कस्ती मापाकी छे यो स्वास्तीमान्छे!	I thought to myself, she speaks carelessly, without any shame—what a fearless woman she is!
कति सहजैसँग घरी सिपाही भन्छे, घरी बूढो भन्छे, यसलाई आफ्नो दाइको अलिक लाज पनि लाग्दैन क्यार।	How easily she calls me a soldier at times, old at others, and she doesn’t even feel a bit of shame about her brother.
म बिदा लिएर छिटो-छिटो डेरातर्फ आएँ।	I took my leave and hurried back to my place.
बाटामा मलाई एउटै घाउले पिरोलिरह्यो।	On the way, I was plagued by a single wound.
म बूढो भएछ्नु, बूढो भएछु मात्र होइन, बूढो देखिएछ।	I am old, not just old, but I look old too.
तर टाउको टेकेर स्वीकार गर्नुपरेको थियो त्यस सत्यलाई।	But I had to accept that truth with resignation.
बूढो त म निश्चय नै भएको हो, कसो गर्ने?	I am undoubtedly old, what to do?
तन्देरी देखिनलाई र केही पाउनलाई मेरो जीवनले पनि लोभ गर्नै हो र?	Does my life also have to crave for something to be seen as lively and to gain something?
मसँग छ नै के र?	What do I even have?
शिबराज पनि मकहाँ आउँदै आएन।	Shivraj also did not come to see me.
त्यस घरमा तेस्रो पटक जाने आँट मैले गरिनँ।	I did not muster the courage to go to that house a third time.
वरी एउटा ढङ्गले बोल्न जान्दिन, त्यहाँ किन जाने सिध्थैं?	She does not know how to speak in a proper manner, so why go there at all?
न सम्मान, न शिष्टाचार न माया।	No respect, no courtesy, no affection.
उससँग भेट भएको दोस्रो पटकमै क त्यस्ती, तेस्रो-चौथो भेटमा अझ कस्ती होली!	Even in the second meeting with her, she was like that, what would it be like in the third or fourth meeting!
के भन्छे के भन्दिन।	What does she say and what doesn’t she say?
कति लाज पार्ने हुन्।	How embarrassing it is.
केही हुँदैन रे मलाई आत्मग्लाति त हुन्छ।	Nothing happens, but I feel self-reproach.
साँझ सधैं भ्यालबाट पेटीउताको चल्ती पसललाई हेरेर चित्त बुझाउँथें, यसभन्दा अर्को साधन नै मैरौ थिएन।	Every evening, I would find satisfaction by looking at the moving shop from the balcony; there was no other means.
पसल हेदैं विचार गर्थे साँझको रमझम छिचोलेर पसले साहू सधैं घण्टा, दुई घण्टाको निम्ति कतै जान्छ।	While considering the shop from afar, I thought that the shopkeeper would always go somewhere for an hour or two after the evening rush.
त्यसपछि सघैँ पसल्ती र एउटी सोह्वर्ष सोडा-पानी बेच्ने ठिटोको प्रेम-कथा शुरू हुन्छ।	After that, the shopkeeper and a young soda-water seller’s love story begins.
त्यहीँ लेखिन्छ त्यो कथा, त्यहीँ अव्यक्त र असीम भनिँदो सन्तोषको सीमामा पुगेर मेटिन्छ।	The story is written there, and it ends at the boundary of unspoken and infinite satisfaction.
पसल्ती विश्वासी छै ठिटाको निम्ति र ठिटो प्रेम गर्छ पसल्नीलाई, अति चर्को प्रेम, कुन्नि के लोभमा, कुन्नि के प्रेरणामा।	The shopkeeper is devoted to the young man, and the young man loves the shopkeeper with intense passion, perhaps due to some desire or inspiration.
यो पनि त जीवन हो, यो पनि त प्रेम हो।	This is also life, and this is also love.
सुन्दथें पसल्तीका फोक्सामा क्षयरोगका ठूल्ठूला खोपिल्टा परिसकेका छन्।	I see that there are large patches of tuberculosis in the shopkeeper’s lungs.
मेरो भान्छे केटा त्यहाँ सामान किन्न घिनाउँछ।	My cook is disgusted by going there to buy items.
अव हद वाँचै क दुई वर्ष बाँच्ली, क सचै भन्छ।	Now, I’ve been living here for two years, which is true.
कति अज्ञानी छै पसल्नी आफैँप्रति र कति सुखी पनि।	How ignorant the shopkeeper is about herself and how happy she is.
उसले पनि आफूसँग एउटा जीवधाती तन्तु राखिदिए हुने, तर होइन कसँग छ के?	She should have kept a living cell with her, but who does she have?
त्यो ठिटोलाई उसले आफ्नो छातीको सबै कीटाणु नासौ दिएर मर्दित त?	Did she give all her germs from her chest to that young man and die?
अवश्य यही हुन्छ।	This must be what happens.
यस्तै त हो न्ति मानिसको प्रेम।	This is how human love is.
जो कुनै पनि ठाउँमा आफ्नो अस्तित्वलाई कायम राख्छ।	It maintains its existence in any place.
मानिसहरू निस्सार प्रेममा र प्रेम निस्सार मानिसहरूमा सँगै सधैँ अँगालिएर हिँडेका छन्।	People wander together in vain love, and love embraces vain people always.
खोक्रो फोक्सोमा सास फेरुन्ज्याल त्यो ठिटोसँगै पसल्ती प्रेम गर्छ।	In the hollow lungs, the shopkeeper’s love with the young man continues.
शायद मासुको तिर्खा मेट्छै र त्यो ठिटो पसल्तीलाई यस्तै सजिलो वातावरणमा पाउन्ज्याल प्रेम गर्छ, कुन्नि आफ्नो कुन तिर्खा मेट्छ।	Perhaps it quenches the thirst for flesh, and the young man loves the shopkeeper in this easy environment, perhaps to quench some thirst of his own.
पसलको भित्री भागमा अँध्यारो पारेर पसल्नीलाई अँगालो हाल्दैमा ठिटोको प्रेम सीमित हुन्छ, के अर्थ छ त्यस प्रेमको?	When the shopkeeper embraces the young man in the dark inner part of the shop, what is the meaning of that love?
के मूल्य छ त्यस प्रेमको?	What is the value of that love?
यति विचार गर्दागर्दै म भौंतारिएर कहाँ पुग्छु, बिचलित हुन्छु, मैले कसैसित प्रेम नै गरिनँ तर मैले स्वास्नीमान्छेलाई छोएको छु।	As I ponder this, I become disoriented and unsettled, not having loved anyone but having touched a woman.
क्रमशः मेरो अनुहारमा म विकार अनुभव गर्छु र आफैँलाई टोह्लाउन फेरि त्यो शिरीषको घारीभित्र लुकेको घर सम्झन्छु।	Gradually, I experience distortion on my face and remember the hidden house in the Shirish grove to introspect.
हो, म बूढौ भइसके, ममा त्यो ठिटोको जस्तो ताउ आउँदैन, मलाई प्रेमको मूल्य खोज्नु छैन।	Yes, I have become old; I do not have the same vigor as the young man, and I do not need to search for the value of love.
अब त शिरीषका तीला फूलहरू पनि केही बेरङ्गी हुन थालिसके होलान्‌, आफ्नो रूखसँगको म्याद सिद्घाएर, मोहलाई करबलले हटाएर झार्न वालिसके होलान्‌ आफू-आफैं इच्छाले।	Now even the Shirish’s yellow flowers must have started to fade, having fulfilled their term with the tree, and having shed their attraction by their own will.
कत्रो भिन्नता छ सक्रमवरी र पसल्तीमा, दुबै कस्तरी विपरीत दौडेका छन्।	How different the young man and the shopkeeper are, both have run in opposite directions.
के हो र सकमबरी?	What about the young man?
दँजाएर हेरे पसल्तीले माथ गारिदिन्छे वरीलाई।	The shopkeeper looks down upon the young man from above.
सडकमा साइकलको घण्टी बजेको सुनेर 'फस्कँदै मैले हेरै शिवराज आएको थियो।	Hearing the bicycle bell ring on the street, I saw that Shivraj had arrived.
एक किसिमको मलाई खुशी पनि लाग्यो।	I felt a kind of happiness.
ढोकाबाटै क गुनासो गर्दै पस्यो, “तपाईं कस्तो बेपत्ता हुनुभएको मैले फुर्सद पाइनँ रे तपाईंको के काम, माया मार्न लाग्नुभो जस्तो छ।"	He entered through the door, complaining, “Where have you disappeared to? I haven't had the time; it seems like you’ve come to break my heart.”
कुन्ति शिवराज किन मसंग साह्दै आत्मीय हुन चाहन्छ।	Why does Shivraj want to be so affectionate with me?
शङ्डा लाग्थ्यो, उसको पनि बिहे गरिदिनुपर्ने तीत जना बहितीहरू छन्‌; तर शङ्का पनि कति व्यङ्ग्यात्मक, उसको त्यस्ता लहलहाउँदा सुकुमारी बहिनीहरू, कसमा कै खोटछर?	I was suspicious, he also has to marry off his three beautiful sisters; but the suspicion is quite ironic, what fault is there with his charming young sisters?
मैले खुशी व्यक्त गर्दै भनें “यता केही सञ्चो नभएर, नव आइहाल्थेँ नि।"	I expressed my happiness, saying, “There was nothing happening here, otherwise, I would have come earlier.”
उसले बिश्वास गरेन, मलाई हेरेर मेरो विसञ्चो हुनुलाई पत्याएन।	He did not believe me, he did not accept my expression of satisfaction.
उसले भन्यो “दुब्लाउनुभएको छैन नि! औषधि खान छोड्नुभयो कि कसो?”	He said, “You haven’t lost weight! Have you stopped taking medicine or what?”
“किन छाडूयैं खानलाई जहाँ पति भइहाल्छ ति। यो गुण नै अल्कोहलको, यसदेखि टाढा कहाँ जानु छर।"	“Why should I stop taking it when it becomes a part of my life? This is the nature of alcohol; where can I go from it?”
त्यसपछि शिवराजलाई बोल्ने फुर्सद भएन।	After that, Shivraj did not have time to speak.
धेरै दिनको निचोड एकै चोटि निकाल्न चाहन्थ्यो।	He wanted to summarize many days' worth of events in one go.
फेरि भरी बोतलहरू मगाइयो, रित्त्पाइयो।	More bottles were ordered again and emptied.
कहाँदेखि कहाँ पुगियो।	Where did it all end up?
कहाँ पसल्ती, कहाँ सोडा-पानी बेच्ने ठिटो, कहाँ तिस्सार प्रेम, कहाँ सकमवरी!	From the shopkeeper to the soda-water seller, from intense love to the young man!
सबै बिर्सेर म केबल अल्कोहलको प्रतिक्रियामा सास फेरिरहेको थिएँ।	Forgetting everything, I was merely breathing in the reaction of alcohol.
विदा हुने बेलामा वास्तविकताको एक तह पिल्साउँदै उसले भनिहाल्यो "प॒सिं बरीको जन्मदिन, तपाईँलाई निम्तो छ। कृपया उपदह्वारजस्तो केही नलिएर आउनुहोला, त्यो वरी वाप्दिच। फेरि मुखमा झटारो हानेर फर्काउन बेर छैन।”	As I was about to leave, he said, revealing a layer of reality, “It’s Buri’s birthday; you are invited. Please come without bringing any gifts; that’s Buri’s request. And don’t delay by being harsh.”
मलाई साँच्चै मुखमा झटारो आएजस्तै लाग्यो, केही घोप्टेर भनेँ “कोशिशा गर्छु।"	I really felt like being harsh, so I muttered, “I will try.”
“कोशिश गर्छ होइन, म तपाईँलाई यहीँ आएर लग्छु।”	“Trying isn’t enough; I will come and get you myself.”
क हतारिँदै गाइहाल्यो।	He hurriedly sang away.
वसले छोडेको पेसिन्जरजस्तै म जिल्लिएर उभिरहैँ।	I stood stunned like a passenger abandoned by the bus.
सम्झेर आएर त उसले लग्छ लग्छ, कति ठिपी गर्न सक्छ, शिबराज, तर जातले कसरी, बूढो मानिस राँटिएर आउँछ अन्ली कि!	He insists that he will come to get me, and how much can Shivraj insist, but how does it work, an old man only gets scolded!
सकमवरीको मुख न हो।	It is not the face of the young man.
उपहार नबोकी उही पति उपलक्ष्य परेको दिनमा भयाउरे भएर जाने पति कसरी।	Without gifts, how can an old man go on the day of the young man’s celebration?
ठाँटिएर त म सधैं हिंड्छ।	I always go with style.
यो सकमवरीलाई थाहै होला।	The young man must know this.
हरे! यो जन्मदिवस पनि मुजुराको भइदिए हुने।	Oh! It would be good if this birthday also became the young man’s.
केही शानसँग त जान पाइन्थ्यो, तर यहाँ मुजुरा बैठकसम्म पनि देखापर्दिन।	It would have been nice to go with some dignity, but here, even the young man is not visible in the meeting.
यसै दाउ गरेर भाग्नुपर्ला त्यो दिन, अबश्य आग्छु, यही निश्चय गरेँ मैले।	I will have to escape that day with this plan; I am determined to come for sure.
कति जन्मदिन मनाइयो त्यसको हिसाब के, तर त्यो जन्मदिवसमा,	How many birthdays were celebrated, but on that birthday,
म नढाँटीकत स्वीकार गर्छ, मलाई केही भएको थियो, अर्थात्‌	I admit honestly that something had happened to me,
असमन्जसमा म अवश्य परेको हुँ। म दिउँसै आफैँमा कुनै विशेष कामको बहाना गर्दै डेराबाट निस्कें उद्देश्पहीन भौंतारिनलाई।	I was certainly in a state of confusion. I left my lodging in the afternoon under the pretext of some special work, wandering aimlessly.
उद्देश्यहीन त म यसै नै थिएँ तर विशेष त्यस साँझलाई आफूबाट केही पन्छाउनुपरेको थियो।	I was aimless as it was, but I needed to distance myself from something special that evening.
सम्झे 'कति काफर म? कुन प्रेरणाले मलाई यसरी काफर हुन सिकाएको छ?	I thought, “How foolish am I? What inspiration has taught me to be this foolish?”
काफर कहिले थिएँ र? म विश्वयुद्ध लडेर आएको मान्छे, सङ्गीन र बुलेटसँग खेलेर आएको, छि: यस्तो कुरा आफैँभित्र दोहोच्याउन पनि मलाई लाज लाग्यो।	When was I foolish? I am a person who has come from fighting world wars, playing with rifles and bullets. How embarrassing it is to even repeat this to myself.
भूगोलपार्कको छैनैमा मैले चिनेको स्वरले बोलाएको सुने “कहाँ जात लाग्नुभयौ, मैले तपाईंलाई भनेको होइन र?”	In the absence of the Geographical Park, I heard a familiar voice calling, “Where have you disappeared? Didn’t I tell you?”
त्यसपछि कति विवाद भयो, स्मरणमा राम्रैसँग लेखिएको छैन।	There was quite a dispute afterward, which I don’t remember clearly.
अन्त्यमा म लुरुलुरु त्यही शिरीषको घारीभित्र स्थित बिरातु घरको मूलढोकाबाट आफूलाई लगिरहेको थिएँ।	In the end, I found myself stumbling through the main door of the secluded house in the Shirish grove.
मानिस केही थिएन, शायद निम्त्याइनैमा म मात्र थिएँ कि।	There was no one around, perhaps I was the only one invited.
सम्भौँ शायद बरीकै कोठामा होला। उसका साथीहरू खाएर राइसके म आाखिरको पाहुना थिएँ होला,	Perhaps I was the last guest in the room; his friends had already eaten.
शिवराजको बैठक त्यस्तै सजाबटमा त्यस्तै चकमन्न थियो। जुन आशा गरेको थिएँ, त्यो केही पनि थिएन।	Shivraj’s gathering was as grand and dazzling as expected. What I had hoped for was nothing.
वैठकमा मलाई छोडेर क भित्र गइहाल्यो, म भयालमा आएर बाहिर हेर्ने बहाना गर्न थालेँ।	He left me in the gathering and went inside, and I started pretending to look outside from the balcony.
त्यही दिन मैले आफैँमा एउटा परिवर्तन अनुभव गरेको हँ-त्यो के भने म सचेत रहन्धें, कुन्ति किन?	That day, I felt a change in myself – that I was becoming aware. Why?
बूढा देखिन थालेको म विशेष "सकमबरीको आँखाले आफूलाई लुकाउन पनि कहाँ अनि कसरी!	I began to look old; how could I hide myself from the young man’s eyes!
मैले लुकाउन खोजें रै तर कट सत्य कहाँ लुम्छ र: साँच्चै लुक्तेन त: मैले कै आफूभित्र कुनै सत्यलाई लुकाएको छैनँ।	I tried to hide, but how can the truth be hidden? I haven’t really hidden any truth within myself.
मेरो मस्तिष्कमा एउटा बोझजस्तो आएर बस्यो।	A burden seemed to settle in my mind.
स्तायुगतिको आवेगमा परेर मैले टेरेलितको कोटमा सिडरेको ज्यास्मिनतको कोपिला भिकेर भ्यालबाट मिल्काइदिएँ।	Caught in the urge of an old era, I crushed a jasmine bud in Terelite’s coat and threw it out of the balcony.
“हरे!” ढोकामा स्याम्पू लगाएर हरेक उडैको सुनौला वालभित्र सानु अनुहारमा साना-साना आँखा टन्काउँदै, हुनसक्छ, हाँसिरहेकी थिई बरी।	“Hey!” At the door, Buri, with a small face and tiny eyes peeking through the golden hair, was perhaps smiling.
सम्झौं बिरालोले जे पनि चाँडै देख्छ तर जस्तो होस्‌ त्यो मेरो असफलता थियो; मानौं आज पति दशा ठीक छैन।	Like a cat quickly spotting things, my failure was evident; it seemed like today was not my day.
दोस्रो पटक उसँग भेट्दा बोल्ने जुन रहर थियो त्यो रहर, मरिसकेको थियो।	The desire to speak with her the second time had died.
म पहिलेबाट चङ्खो भएर बसिरहे, अब कै भन्ने हो? यसको विपरीत टेबुलसम्म आएर उसले भनी "सुयोगजी! आज म चौबीस वर्ष पुगेँ।”	I was already seated awkwardly; what more could be said? Contrary to this, she came to the table and said, “Mr. Sujoy! Today I am twenty-four years old.”
मलाई राम्रैसँग थाहा छ तर मैले यसो भनिनँ केवल साधुवाद दिएँ।	I knew well, but I only congratulated her.
मलाई वितृष्णा भइरहेको थियो उसप्रति, उसको प्रत्येक व्यवहारप्रति।	I felt disgusted by her, by her every behavior.
उसले मलाई कोचमा बस्ने आग्रह गरी। हातमा चुरुटको एउटा सिङ्गै बढ्ढा लिएर आएकी थिई, खोलेर मलाई दिई।	She insisted that I sit on the couch, bringing a whole cigar in her hand and offering it to me.
सलाई कोरेर टाउको निहुराई मतिर, मेरो धेरै नजिक, हामी एउटा सग्लो चुरुट र बलिरहेको सलाईको दुरीमा टाढा थियौं एक-अर्कोदेखि।	She struck a match and leaned closer to me; we were a cigar and a lit matchstick apart from each other.
स्याम्पू र सुकुमेलको हलुका बासले मेरो तसा-तसा गलाउन खोजिरहेको थियो, तर सपना-जस्तै निद्राबाट चौँडिएर क पर गई, त्यो अनुभवलाई मैले अनुभवसम्म गर्न पाइनँ।	The faint scent of shampoo and sweetness seemed to corrode my senses, but I woke up from a dream-like sleep and couldn’t fully grasp the experience.
क्रमशः उसप्रतिको वितृष्णालाई हराएर मलाई रहर एउटा दिन दियर्क थिई साधारण रहर।	Gradually overcoming my disgust for her, I was given a simple desire for a day.
हरियो हाएन्डलुमको घोतीभित्र पाँच फूट तीन इञ्चको बाँसको लिब्गोजस्तो शरीरमा सुनौला टाउको जडेकी सकमबरी मतिर प्रस्ट पिठ्युँ फर्काएर उभिएकी थिई।	In the green high-class loom, she stood with a clear back, her golden head fixed on a bamboo-like body of five feet three inches.
केही वेर क बोल्दै बोलिन। 'म पाँच फूट छ इञ्चको जवान, जवान के नै बूढो, मभन्दा तीन इञ्च कम उचाइमा र एक्काइस वर्ष सानी उमेरमा, सम्झँदा-सम्फझँदै म एक्काईस कोस टाढा पछ्छारिन पुगेँ शिबराजको बैठकको बास्तविकतादेखि।	After a while, she spoke, “I am five feet six inches tall, and even though I am older than you, I am three inches shorter and twenty-one years younger. Considering this, I am twenty-one miles away from the reality of Shivraj’s gathering.”
यो सब देखाइरहन के आबश्यकता। मलाई त यत्रो लागेर आयो।	What is the need to show all this? I found it quite unnecessary.
सम्झौं कति तिस्सार यौ भावना। केहीछिन टोह्लाएर क कराउँदै शिवराजको खाट सोझो राखिएको दराजतर्फ गई।	I remembered many such feelings. After a while, I went towards the drawer where Shivraj’s bed was laid out.
"आम्मै! कस्तो कस्तो भुलिछ्लु, शिवले मलाई के अहाएर पठाउनुभएको;	“Ah! How forgetful I am, what did Shiv send me for?
तपाईँलाई त यो नभै हँदैन रै नि।	You wouldn’t have it any other way.
उसले पातला औंलाहरूले घाँटी समाएर एरिस्टोक्रबाट बाण्डीका दुइटा वोतल निकाली।	She pulled out two bottles of brandy from Aristocrat, grasping the neck with her slender fingers.
सधैं उसदेखि मैले हीनता अनुभव गर्नुपरेको थियो, एउटा अरू बढ्यो, के भो त? लत छैन भनेर के अस्वीकार गर्ने?	I always felt inferior to her, and now it had increased. What to say? Should I reject the addiction?
असम्भव थियो मेरो निम्ति। विश्वाससाथ नभै नहुने कुरा भनी स्वीकार गरेँ मैले।	It was impossible for me. I accepted it as something that couldn’t be denied without conviction.
बोतल राखेर शायद गिलास लिन गई र भन्दै गई चर्को स्वरमा "शिव रक्स्याहा, शिवको साथी रक्स्याहा।”	After putting down the bottles, she perhaps went to get glasses and said loudly, “Shiv, the drinker; Shiv’s friend, the drinker.”
म चूढो, रक्स्याहा सिपाही।	I, the drunk, the drinker soldier.
आफ्नो अघि लम्पसार तेर्सिएको मार्भिक विशलेषणहरूले मेरो नामलाई सक्तो गिज्याइरहेका थिए।	The vivid analysis of my own state was mercilessly mocking my name.
सुयोगबीर सिंह वूढो, रक्स्याहा, सिपाही; हावामा नाम्नो खुकुरी नचाएर आएको यो मेरो इनाम।	Sujoybir Singh, the old, the drunk, the soldier; this is my reward without a blade brandished in the air.
सँगाल्नुपरेको थियो यो मूल्य मेरो वीरताको,	This was the price I had to pay for my valor.
त्यसपछि धेरै समय बित्यो।	A lot of time passed.
बर्खा आफ्नो अन्तिम दिनहरूमा काठमाण्डूको खाल्डोलाई भिजाउने प्रयत्नमा थियो।	The monsoon was trying to drench the valleys of Kathmandu in its final days.
त्यही बीच मेरो पैतालीस वर्षले मलाई बाध्य बनाएर छयालीसमा पत्छार्दै भाग्यो।	In the meantime, my forty-five years forced me to flee, leaving me at forty-six.
आफैँभित्र पति जतिसक्तो छलिन खोज्दै मैले त्यो दिन बिताएँ अर्थात्‌ भनाएँ।	Trying to deceive myself as best as I could, I spent that day.
मैरौ वारमा जानु त्यस्तै थियो र शिबराजसँग भेट्नु त्यस्तै।	Going to my own affairs was the same, and meeting Shivraj was the same.
हाम्रो नियमबद्धतामा कतै फरक आएको थिएन।	There was no difference in our routine.
भए तापनि मेरो एक्लो जिउनुको अध्यायमा नौला-नौला कुराहरू बपिइसकेका थिए।	Even so, there were new things in the chapter of my solitary life.
म शिवराजको घरमा धेरै भयाम्मिइसकेको थिएँ।	I had often stayed at Shivraj’s house.
उनीहरू सबै उस्तै थिए।	They were all the same.
